order_id,customer_id,product,category,amount,order_date
2001,1,Mobile,Electronics,18000,2024-01-05
2002,1,Earphones,Electronics,1200,2024-02-10
2003,2,Shoes,Fashion,2500,2024-01-12
2004,2,Watch,Accessories,3200,2024-02-01
2005,3,Laptop,Electronics,55000,2024-03-03
2006,3,Mouse,Electronics,800,2024-03-15
2007,4,Book,Education,600,2024-02-20
2008,5,Tablet,Electronics,26000,2024-03-10
2009,6,Backpack,Fashion,1800,2024-01-22
2010,6,T-shirt,Fashion,900,2024-02-14
2011,7,Mixer,Home,3500,2024-03-01
2012,8,Skincare Kit,Beauty,2200,2024-02-25
2013,8,Lipstick,Beauty,700,2024-03-05
2014,5,Keyboard,Electronics,2800,2024-04-01
2015,2,Sunglasses,Accessories,1500,2024-04-08
2016,4,Notebook,Education,400,2024-03-18
2017,7,Vacuum Cleaner,Home,7200,2024-04-12
2018,3,Webcam,Electronics,2100,2024-04-20
