OrderID,Date,Product,Category,Region,Sales,Quantity
1001,2024-01-01,Laptop,Electronics,North,52000,1
1002,2024-01-02,Phone,Electronics,South,21000,1
1003,2024-01-03,Chair,Furniture,West,5000,2
1004,2024-01-04,Table,Furniture,East,8000,1
1005,2024-01-05,Headphones,Electronics,North,3000,2
1006,2024-01-06,Laptop,Electronics,South,51000,1
1007,2024-01-07,Phone,Electronics,West,20000,1
1008,2024-01-08,Sofa,Furniture,East,25000,1
1009,2024-01-09,Chair,Furniture,North,4800,2
1010,2024-01-10,Table,Furniture,South,8500,1
1011,2024-01-11,Laptop,Electronics,West,53000,1
1012,2024-01-12,Phone,Electronics,East,22000,1
1013,2024-01-13,Headphones,Electronics,North,3200,2
1014,2024-01-14,Sofa,Furniture,South,26000,1
1015,2024-01-15,Chair,Furniture,West,5200,2
1016,2024-01-16,Table,Furniture,East,7800,1
1017,2024-01-17,Laptop,Electronics,North,54000,1
1018,2024-01-18,Phone,Electronics,South,20500,1
1019,2024-01-19,Headphones,Electronics,West,3100,2
1020,2024-01-20,Sofa,Furniture,East,24500,1
1021,2024-01-21,Chair,Furniture,North,5100,2
1022,2024-01-22,Table,Furniture,South,8200,1
1023,2024-01-23,Laptop,Electronics,West,55000,1
1024,2024-01-24,Phone,Electronics,East,21500,1
1025,2024-01-25,Headphones,Electronics,North,3000,2
1026,2024-01-26,Sofa,Furniture,South,27000,1
1027,2024-01-27,Chair,Furniture,West,4900,2
1028,2024-01-28,Table,Furniture,East,7900,1
1029,2024-01-29,Laptop,Electronics,North,56000,1
1030,2024-01-30,Phone,Electronics,South,22500,1
1031,2024-02-01,Headphones,Electronics,West,3300,2
1032,2024-02-02,Sofa,Furniture,East,25500,1
1033,2024-02-03,Chair,Furniture,North,4700,2
1034,2024-02-04,Table,Furniture,South,8600,1
1035,2024-02-05,Laptop,Electronics,West,54500,1
1036,2024-02-06,Phone,Electronics,East,23000,1
1037,2024-02-07,Headphones,Electronics,North,3150,2
1038,2024-02-08,Sofa,Furniture,South,26000,1
1039,2024-02-09,Chair,Furniture,West,5300,2
1040,2024-02-10,Table,Furniture,East,8100,1
1041,2024-02-11,Laptop,Electronics,North,57000,1
1042,2024-02-12,Phone,Electronics,South,21000,1
1043,2024-02-13,Headphones,Electronics,West,3050,2
1044,2024-02-14,Sofa,Furniture,East,24800,1
1045,2024-02-15,Chair,Furniture,North,4950,2
1046,2024-02-16,Table,Furniture,South,8400,1
1047,2024-02-17,Laptop,Electronics,West,56000,1
1048,2024-02-18,Phone,Electronics,East,21800,1
1049,2024-02-19,Headphones,Electronics,North,3250,2
1050,2024-02-20,Sofa,Furniture,South,26800,1
1051,2024-02-21,Chair,Furniture,West,5050,2
1052,2024-02-22,Table,Furniture,East,8300,1
1053,2024-02-23,Laptop,Electronics,North,57500,1
1054,2024-02-24,Phone,Electronics,South,23500,1
1055,2024-02-25,Headphones,Electronics,West,3400,2
1056,2024-02-26,Sofa,Furniture,East,27200,1
1057,2024-02-27,Chair,Furniture,North,4800,2
1058,2024-02-28,Table,Furniture,South,8200,1
1059,2024-03-01,Laptop,Electronics,West,59000,1
1060,2024-03-02,Phone,Electronics,East,24000,1
1061,2024-03-03,Headphones,Electronics,North,3350,2
1062,2024-03-04,Sofa,Furniture,South,28000,1
1063,2024-03-05,Chair,Furniture,West,5150,2
1064,2024-03-06,Table,Furniture,East,8450,1
1065,2024-03-07,Laptop,Electronics,North,60000,1
1066,2024-03-08,Phone,Electronics,South,24500,1
1067,2024-03-09,Headphones,Electronics,West,3500,2
1068,2024-03-10,Sofa,Furniture,East,28500,1
1069,2024-03-11,Chair,Furniture,North,5000,2
1070,2024-03-12,Table,Furniture,South,8600,1
1071,2024-03-13,Laptop,Electronics,West,61000,1
1072,2024-03-14,Phone,Electronics,East,25000,1
1073,2024-03-15,Headphones,Electronics,North,3600,2
1074,2024-03-16,Sofa,Furniture,South,29000,1
1075,2024-03-17,Chair,Furniture,West,5200,2
1076,2024-03-18,Table,Furniture,East,8700,1
1077,2024-03-19,Laptop,Electronics,North,62000,1
1078,2024-03-20,Phone,Electronics,South,25500,1
1079,2024-03-21,Headphones,Electronics,West,3700,2
1080,2024-03-22,Sofa,Furniture,East,29500,1
1081,2024-03-23,Chair,Furniture,North,5100,2
1082,2024-03-24,Table,Furniture,South,8800,1
1083,2024-03-25,Laptop,Electronics,West,63000,1
1084,2024-03-26,Phone,Electronics,East,26000,1
1085,2024-03-27,Headphones,Electronics,North,3800,2
1086,2024-03-28,Sofa,Furniture,South,30000,1
1087,2024-03-29,Chair,Furniture,West,5400,2
1088,2024-03-30,Table,Furniture,East,9000,1
1089,2024-03-31,Laptop,Electronics,North,64000,1
1090,2024-04-01,Phone,Electronics,South,26500,1
1091,2024-04-02,Headphones,Electronics,West,3900,2
1092,2024-04-03,Sofa,Furniture,East,30500,1
1093,2024-04-04,Chair,Furniture,North,5500,2
1094,2024-04-05,Table,Furniture,South,9100,1
1095,2024-04-06,Laptop,Electronics,West,65000,1
1096,2024-04-07,Phone,Electronics,East,27000,1
1097,2024-04-08,Headphones,Electronics,North,4000,2
1098,2024-04-09,Sofa,Furniture,South,31000,1
1099,2024-04-10,Chair,Furniture,West,5600,2
1100,2024-04-11,Table,Furniture,East,9200,1
